date,asset,open,high,low,close,volume,amount,raw_close,float_shares,market_cap,turnover_rate,industry,listing_date,is_st,suspendFlag
2018-01-02,000088.SZ,6.110984942316568,6.166975642049835,6.078990256754701,6.142979627878435,64368,49394555.0,7.68,3162920742.0,24291231298.56,0.0020350810295454,UNKNOWN,19970728,0,0
2018-01-02,000089.SZ,7.902000204941827,7.9474139992231025,7.865669169516808,7.9474139992231025,58143,50686681.0,8.75,2050769509.0,17944233203.75,0.0028351796603584,UNKNOWN,19980420,0,0
2018-01-02,000090.SZ,4.2659165489102335,4.393257341415016,4.2659165489102335,4.384767955248031,114179,117307491.0,10.33,1868545434.0,19302074333.22,0.0061105819490605,UNKNOWN,19990721,0,0
2018-01-02,000096.SZ,11.880892895309334,12.034720145286682,11.880892895309334,12.025671483523308,5309,7022290.0,13.29,510848000.0,6789169920.0,0.0010392523803558,UNKNOWN,20000724,0,0
2018-01-02,000099.SZ,8.533445567678001,8.646846837680368,8.50509525017741,8.637396731846838,37023,33652978.0,9.14,775770137.0,7090539052.18,0.0047724188176632,UNKNOWN,20000731,0,0
2018-01-02,000100.SZ,2.950454291956682,2.996079873791064,2.950454291956682,2.973267082873873,891914,348298561.0,3.91,20114980236.0,78649572722.76001,0.0044340784307793,UNKNOWN,20040130,0,0
2018-01-02,000151.SZ,11.8615658937617,12.09226085441833,11.794279863570182,12.024974824226812,25759,32077538.0,12.51,307934695.0,3852263034.45,0.0083650853308361,UNKNOWN,20000906,0,0
2018-01-02,000153.SZ,5.150373582908633,5.1763855707011,5.111355601219931,5.169882573752983,17875,14143339.0,7.95,460855922.0,3663804579.9,0.0038786525564056,UNKNOWN,20000920,0,0
2018-01-02,000155.SZ,5.847670093458476,6.012529781002081,5.799181950063297,5.944646380248831,407349,248363359.0,6.13,1846168342.0,11317011936.46,0.0220645642508802,UNKNOWN,20000926,0,0
2018-01-02,000157.SZ,3.0069859044595346,3.10158770819534,3.0069859044595346,3.074558621413681,663218,301680747.0,4.55,7070417363.0,32170399001.65,0.0093801817622629,UNKNOWN,20001012,0,0
2018-01-02,000158.SZ,7.882432667458484,7.971555649879497,7.823017345844475,7.961653096277161,65202,52100924.0,8.04,1590643645.0,12788774905.8,0.0040990953696608,UNKNOWN,20000724,0,0
2018-01-02,000159.SZ,5.195272386305663,5.274138001278045,5.185414184434116,5.274138001278045,33181,17626744.0,5.35,480672868.0,2571599843.8,0.0069030316061026,UNKNOWN,20000926,0,0
2018-01-02,000166.SZ,4.684159325533527,4.71032781338567,4.649268008397337,4.692882154817575,176648,94793279.0,5.38,22535507316.0,121241029360.08,0.0007838652022472,UNKNOWN,20150126,0,0
2018-01-02,000301.SZ,4.853711561852283,4.954259258990466,4.835430162372614,4.935977859510796,104588,56269077.0,5.4,6609848275.0,35693180685.0,0.001582305608974,UNKNOWN,20000529,0,0
2018-01-02,000333.SZ,40.54027456814414,41.21173414692195,40.446414627024666,40.70633446397091,329725,1866579510.0,56.38,6885188232.0,388186912520.16,0.0047889032062703,UNKNOWN,20130918,0,0
2018-01-02,000338.SZ,6.257539084461402,6.489854906758771,6.2500450256776166,6.4748667891912,972471,832558802.0,8.64,4956392543.0,42823231571.52,0.0196205403741363,UNKNOWN,20070430,0,0
2018-01-02,000400.SZ,12.249288508728156,12.295617133950271,12.13809980819507,12.277085683861428,118971,156887454.0,13.25,1015065609.0,13449619319.25,0.0117205231804873,UNKNOWN,19970418,0,0
2018-01-02,000402.SZ,9.467685870087916,9.71370996527837,9.450718691109264,9.62887407038511,277656,315845871.0,11.35,2988667172.0,33921372402.2,0.0092902951054999,UNKNOWN,19960626,0,0
2018-01-02,000403.SZ,12.240294547752308,12.46284535771144,12.240294547752308,12.46284535771144,7775,23282763.0,30.24,940679937.0,28446161294.88,0.0008265297997952,UNKNOWN,19960628,0,0
2018-01-02,000404.SZ,5.0017380402367975,5.017616573697867,4.96998097331466,5.009677306967332,63567,40026486.0,6.31,693418335.0,4375469693.849999,0.0091671934230005,UNKNOWN,19960619,0,0
2018-01-02,000407.SZ,7.1835901586248285,7.341778024812163,7.137064315628554,7.248726338819614,54393,42381731.0,7.79,875782212.0,6822343431.4800005,0.0062107906800007,UNKNOWN,19960703,0,0
2018-01-02,000408.SZ,14.238969551692527,14.36753812552271,14.086294370269192,14.27914723101446,50585,89468433.0,17.77,1568898254.0,27879321973.58,0.0032242371276168,UNKNOWN,19960628,0,0
2018-01-02,000409.SZ,5.25,5.36,5.21,5.35,43746,23121652.0,5.35,590473484.0,3159033139.4,0.0074086307320109,UNKNOWN,19960627,0,0
2018-01-02,000410.SZ,10.2,10.24,9.9,10.02,152311,153405229.0,10.02,1971018333.0,19749603696.66,0.0077275283263435,UNKNOWN,19960718,0,0
2018-01-02,000411.SZ,14.318272551536104,14.519735682914504,14.318272551536104,14.512540571079562,3070,6158565.0,20.17,563735936.0,11370553829.12,0.0005445812132863,UNKNOWN,19960716,0,0
2018-01-02,000415.SZ,5.707604741459331,5.865600720461666,5.658230998021102,5.845851223086373,245640,143795886.0,5.92,5392913883.0,31926050187.36,0.004554865983941,UNKNOWN,19960716,0,0
2018-01-02,000417.SZ,6.702260608679091,6.7872068774836425,6.608819712994085,6.702260608679091,125244,98402210.0,7.89,779027451.0,6146526588.389999,0.0160769687691018,UNKNOWN,19960812,0,0
2018-01-02,000419.SZ,4.919623827497595,4.992687547707956,4.911505636363112,4.976451165438987,19954,12176759.0,6.13,543361733.0,3330807423.29,0.0036723233875581,UNKNOWN,19960816,0,0
2018-01-02,000420.SZ,3.14,3.21,3.13,3.17,126260,40061494.0,3.17,2458082143.0,7792120393.309999,0.0051365248455816,UNKNOWN,19960802,0,0
2018-01-02,000421.SZ,5.420814520765727,5.508106219972904,5.420814520765727,5.473189540290033,27937,17531086.0,6.27,574220397.0,3600361889.19,0.0048652050930193,UNKNOWN,19960806,0,0
2018-01-02,000422.SZ,3.800814284960184,3.9035389953645128,3.791475674923426,3.8755231652542417,99489,41042852.0,4.15,1067165412.0,4428736459.8,0.0093227346839835,UNKNOWN,19960815,0,0
2018-01-02,000423.SZ,46.300632489260366,47.11494591946803,46.300632489260366,46.93825526951731,50161,305202417.0,61.1,638700293.0,39024587902.3,0.0078536052902671,UNKNOWN,19960729,0,0
2018-01-02,000425.SZ,3.839612035737135,3.996499409240372,3.806583114999611,3.897412647027801,2571112,1216978536.0,4.72,8999488510.0,42477585767.2,0.0285695347812605,UNKNOWN,19960828,0,0
2018-01-02,000426.SZ,9.754858418451684,9.922197059333298,9.577676328106447,9.892666710942423,167447,166571267.0,10.05,1775173814.0,17840496830.7,0.0094327101199567,UNKNOWN,19960828,0,0
